product_id,title,description,price,category_id
cddda6b4-15c1-4c9d-827b-20ac2c07d6a8,Noise-Canceling Headphones,Headphones with advanced noise-canceling technology,129.99,f2e28553-2b43-4d61-bb4d-20a2b88048a0
b7f2a5e9-9902-429d-8d5f-e5dfe4bc5101,Smart Home Security System,Security system with smart home integration,299.99,f2e28553-2b43-4d61-bb4d-20a2b88048a0
a6e769c7-23d1-41b0-8d6e-44ce4400f1ae,Leather Boots,Durable leather boots for a stylish look,79.99,2ff524f8-e00a-47d3-b2a4-2fe8ec64987d
f0c2ddbb-16f1-4ea3-8e24-319a8729c91c,Denim Jacket,Classic denim jacket for a timeless style,59.99,2ff524f8-e00a-47d3-b2a4-2fe8ec64987d
c1b3011a-d8c0-43af-b717-56524f6f9833,Summer Dress,Light and breezy dress for summer occasions,34.99,2ff524f8-e00a-47d3-b2a4-2fe8ec64987d
bd5ef424-b9da-4d43-987a-0cd5abed8b2b,Sporty Sneakers,Comfortable sneakers for an active lifestyle,49.99,2ff524f8-e00a-47d3-b2a4-2fe8ec64987d
e6c3f88b-2db0-4f1b-87b3-44f1db77b861,Formal Trousers,Elegant trousers for formal events,69.99,2ff524f8-e00a-47d3-b2a4-2fe8ec64987d
a5b2aa07-e681-4a88-9d92-615c59ac1c29,Reclining Sofa,Luxurious reclining sofa for ultimate relaxation,1199.99,136d0e79-295b-4cf1-8e86-d7578c637d94
b4d3bcb3-186e-4eef-9a62-2c6a2d34a671,Modern Bookshelf,Sleek and modern bookshelf for stylish storage,149.99,136d0e79-295b-4cf1-8e86-d7578c637d94
f32a3b36-78ab-4cd5-9bf2-1c0d75a74682,King-size Mattress,Comfortable king-size mattress for a good night's sleep,699.99,136d0e79-295b-4cf1-8e86-d7578c637d94
d6a0e317-44e3-43d3-96d9-8694090c2a1c,Office Chair,Ergonomic office chair for comfortable work hours,129.99,136d0e79-295b-4cf1-8e86-d7578c637d94
a09fd1f5-702c-49d3-b3f6-44ec5084d12c,Living Room Rug,Stylish rug to enhance the decor of your living room,79.99,136d0e79-295b-4cf1-8e86-d7578c637d94
c5a6a5dd-8354-4bd4-b6cd-7ebd8b7b58e5,Science Fiction Anthology,Collection of gripping science fiction short stories,19.99,d746fc29-ea09-4688-818b-63d6bb6822fc
d9a9799d-8d2a-4013-a3cc-6897bf1e939b,Travel Memoirs,Captivating memoirs of travel adventures,29.99,d746fc29-ea09-4688-818b-63d6bb6822fc
e7e6c28c-f61d-4c4e-af32-3ea98a4d8d02,Personal Development Guide,Guide to personal development and success,14.99,d746fc29-ea09-4688-818b-63d6bb6822fc
a8c5d6b8-6fcd-482b-9c16-5f48d11e25a9,Vegetarian Cookbook,Delicious vegetarian recipes for a healthy lifestyle,24.99,d746fc29-ea09-4688-818b-63d6bb6822fc
f1c1e827-7755-4f7b-8e6a-4417d6f099c3,Photography Techniques,Master the art of photography with practical techniques,34.99,d746fc29-ea09-4688-818b-63d6bb6822fc
a55a5a88-1e9e-42d4-af87-b8fcf6dfb536,Revitalizing Shampoo,Shampoo with revitalizing properties for hair health,12.99,cecb9b9f-2b9e-4f7c-a4f0-3965a3e21a4a
e5d6d6cc-ef29-4d4a-9d67-3c6d534cc868,Fragrance Gift Set,Luxurious fragrance gift set for special occasions,79.99,cecb9b9f-2b9e-4f7c-a4f0-3965a3e21a4a
f8b7b7ac-cc88-4a99-9c91-74b9aa21a5a4,Skin Care Routine Set,Complete set for a comprehensive skin care routine,59.99,cecb9b9f-2b9e-4f7c-a4f0-3965a3e21a4a
c2f5f57f-7d2c-4e7b-8df8-dbf40ac49b9f,Professional Makeup Kit,High-quality makeup kit for professional results,49.99,cecb9b9f-2b9e-4f7c-a4f0-3965a3e21a4a
a7e7e7b9-aa0d-4b1f-96fb-7388f5aaf32b,Hair Straightener,Professional-grade hair straightener for sleek styling,39.99,cecb9b9f-2b9e-4f7c-a4f0-3965a3e21a4a
